# t, p_bottom, p_top, mob_A, imm_A, diss_A, seal_A, mob_B, imm_B, diss_B, seal_B, mob_C, imm_C, diss_C, seal_C, M_C 
9.900000e+04, 1.098514e+05, 1.039751e+05, 7.301581e-04, 5.287790e-04, 1.722007e-03, 4.895092e-04, 0.000000e+00, 0.000000e+00, 1.106471e-13, 6.964255e-34, 1.975337e-05, 1.261634e-04, 6.882349e-04, 2.091954e-08, 0.000000e+00   
9.960000e+04, 1.098494e+05, 1.039734e+05, 7.900134e-04, 5.540154e-04, 1.773204e-03, 5.114525e-04, 0.000000e+00, 0.000000e+00, 2.795559e-13, 7.197760e-34, 3.228281e-05, 1.513954e-04, 7.694838e-04, 3.085831e-07, 0.000000e+00   
1.002000e+05, 1.098485e+05, 1.039727e+05, 8.356327e-04, 5.778823e-04, 1.837135e-03, 5.321613e-04, 0.000000e+00, 0.000000e+00, 5.578686e-13, 7.412400e-34, 4.510841e-05, 1.752085e-04, 8.486664e-04, 4.486603e-07, 0.000000e+00   
1.008000e+05, 1.098510e+05, 1.039749e+05, 9.090484e-04, 5.989988e-04, 1.880168e-03, 5.549797e-04, 0.000000e+00, 0.000000e+00, 1.194934e-12, 7.709309e-34, 6.887938e-05, 1.955484e-04, 9.198670e-04, 1.251890e-06, 0.000000e+00   
1.014000e+05, 1.098483e+05, 1.039725e+05, 9.606437e-04, 6.253410e-04, 1.935428e-03, 5.721702e-04, 0.000000e+00, 0.000000e+00, 2.106051e-12, 7.981123e-34, 8.683098e-05, 2.205173e-04, 9.931903e-04, 1.604563e-06, 0.000000e+00   
1.020000e+05, 1.098469e+05, 1.039714e+05, 1.001160e-03, 6.472150e-04, 2.001056e-03, 6.040576e-04, 0.000000e+00, 0.000000e+00, 3.115764e-12, 8.213216e-34, 1.032689e-04, 2.421962e-04, 1.053040e-03, 1.761080e-06, 0.000000e+00   
1.026000e+05, 1.098507e+05, 1.039745e+05, 1.070275e-03, 6.638007e-04, 2.024701e-03, 6.254780e-04, 0.000000e+00, 0.000000e+00, 5.047101e-12, 8.545042e-34, 1.347603e-04, 2.551981e-04, 1.089180e-03, 1.874681e-06, 0.000000e+00   
1.032000e+05, 1.098491e+05, 1.039732e+05, 1.125423e-03, 6.871634e-04, 2.069951e-03, 6.441869e-04, 0.000000e+00, 0.000000e+00, 7.745109e-12, 8.874970e-34, 1.604237e-04, 2.761857e-04, 1.146294e-03, 1.915623e-06, 0.000000e+00   
1.038000e+05, 1.098482e+05, 1.039725e+05, 1.160659e-03, 7.148976e-04, 2.134259e-03, 6.667220e-04, 0.000000e+00, 0.000000e+00, 1.058840e-11, 9.151315e-34, 1.783814e-04, 3.033286e-04, 1.206951e-03, 1.931211e-06, 0.000000e+00   
1.044000e+05, 1.098502e+05, 1.039742e+05, 1.222519e-03, 7.322202e-04, 2.163346e-03, 6.929907e-04, 0.000000e+00, 0.000000e+00, 1.488723e-11, 9.482491e-34, 2.140905e-04, 3.162953e-04, 1.229337e-03, 1.941142e-06, 0.000000e+00   
