# x, y, gas saturation, co2 concentration 
3.500000e-02, 3.500000e-02, 0.000000e+00, 7.822808e-01 
4.500000e-02, 3.500000e-02, 0.000000e+00, 7.962626e-01 
5.500000e-02, 3.500000e-02, 0.000000e+00, 8.027763e-01 
6.500000e-02, 3.500000e-02, 0.000000e+00, 8.066323e-01 
7.500000e-02, 3.500000e-02, 0.000000e+00, 8.088984e-01 
8.500000e-02, 3.500000e-02, 0.000000e+00, 8.100440e-01 
9.500000e-02, 3.500000e-02, 0.000000e+00, 8.103569e-01 
1.050000e-01, 3.500000e-02, 0.000000e+00, 8.100557e-01 
1.150000e-01, 3.500000e-02, 0.000000e+00, 8.093270e-01 
1.250000e-01, 3.500000e-02, 0.000000e+00, 8.083345e-01 
1.350000e-01, 3.500000e-02, 0.000000e+00, 8.072206e-01 
1.450000e-01, 3.500000e-02, 0.000000e+00, 8.061062e-01 
1.550000e-01, 3.500000e-02, 0.000000e+00, 8.050937e-01 
1.650000e-01, 3.500000e-02, 0.000000e+00, 8.042719e-01 
1.750000e-01, 3.500000e-02, 0.000000e+00, 8.037197e-01 
1.850000e-01, 3.500000e-02, 0.000000e+00, 8.035149e-01 
1.950000e-01, 3.500000e-02, 0.000000e+00, 8.037650e-01 
2.050000e-01, 3.500000e-02, 0.000000e+00, 8.047981e-01 
2.150000e-01, 3.500000e-02, 0.000000e+00, 8.069480e-01 
2.250000e-01, 3.500000e-02, 0.000000e+00, 8.101483e-01 
2.350000e-01, 3.500000e-02, 0.000000e+00, 8.140232e-01 
2.450000e-01, 3.500000e-02, 0.000000e+00, 8.180487e-01 
2.550000e-01, 3.500000e-02, 0.000000e+00, 8.222041e-01 
2.650000e-01, 3.500000e-02, 0.000000e+00, 8.262621e-01 
2.750000e-01, 3.500000e-02, 0.000000e+00, 8.299158e-01 
2.850000e-01, 3.500000e-02, 0.000000e+00, 8.329360e-01 
2.950000e-01, 3.500000e-02, 0.000000e+00, 8.351942e-01 
3.050000e-01, 3.500000e-02, 0.000000e+00, 8.366511e-01 
3.150000e-01, 3.500000e-02, 0.000000e+00, 8.373240e-01 
3.250000e-01, 3.500000e-02, 0.000000e+00, 8.372672e-01 
3.350000e-01, 3.500000e-02, 0.000000e+00, 8.367667e-01 
3.450000e-01, 3.500000e-02, 0.000000e+00, 8.358511e-01 
3.550000e-01, 3.500000e-02, 0.000000e+00, 8.356155e-01 
3.650000e-01, 3.500000e-02, 0.000000e+00, 8.374906e-01 
3.750000e-01, 3.500000e-02, 0.000000e+00, 8.423653e-01 
3.850000e-01, 3.500000e-02, 0.000000e+00, 8.492593e-01 
3.950000e-01, 3.500000e-02, 0.000000e+00, 8.554749e-01 
4.050000e-01, 3.500000e-02, 0.000000e+00, 8.575918e-01 
4.150000e-01, 3.500000e-02, 0.000000e+00, 8.530495e-01 
