# x, y, gas saturation, co2 concentration 
3.500000e-02, 3.500000e-02, 0.000000e+00, 1.463476e+00 
4.500000e-02, 3.500000e-02, 0.000000e+00, 1.463492e+00 
5.500000e-02, 3.500000e-02, 0.000000e+00, 1.463561e+00 
6.500000e-02, 3.500000e-02, 0.000000e+00, 1.463820e+00 
7.500000e-02, 3.500000e-02, 0.000000e+00, 1.463900e+00 
8.500000e-02, 3.500000e-02, 0.000000e+00, 1.463972e+00 
9.500000e-02, 3.500000e-02, 0.000000e+00, 1.464313e+00 
1.050000e-01, 3.500000e-02, 0.000000e+00, 1.464953e+00 
1.150000e-01, 3.500000e-02, 0.000000e+00, 1.465885e+00 
1.250000e-01, 3.500000e-02, 0.000000e+00, 1.467075e+00 
1.350000e-01, 3.500000e-02, 0.000000e+00, 1.468434e+00 
1.450000e-01, 3.500000e-02, 0.000000e+00, 1.469777e+00 
1.550000e-01, 3.500000e-02, 0.000000e+00, 1.470758e+00 
1.650000e-01, 3.500000e-02, 0.000000e+00, 1.470758e+00 
1.750000e-01, 3.500000e-02, 0.000000e+00, 1.471140e+00 
1.850000e-01, 3.500000e-02, 0.000000e+00, 1.472264e+00 
1.950000e-01, 3.500000e-02, 0.000000e+00, 1.473337e+00 
2.050000e-01, 3.500000e-02, 0.000000e+00, 1.474240e+00 
2.150000e-01, 3.500000e-02, 0.000000e+00, 1.475029e+00 
2.250000e-01, 3.500000e-02, 0.000000e+00, 1.475848e+00 
2.350000e-01, 3.500000e-02, 0.000000e+00, 1.476988e+00 
2.450000e-01, 3.500000e-02, 0.000000e+00, 1.479026e+00 
2.550000e-01, 3.500000e-02, 0.000000e+00, 1.482661e+00 
2.650000e-01, 3.500000e-02, 0.000000e+00, 1.486538e+00 
2.750000e-01, 3.500000e-02, 0.000000e+00, 1.489655e+00 
2.850000e-01, 3.500000e-02, 0.000000e+00, 1.492223e+00 
2.950000e-01, 3.500000e-02, 0.000000e+00, 1.494373e+00 
3.050000e-01, 3.500000e-02, 0.000000e+00, 1.495802e+00 
3.150000e-01, 3.500000e-02, 0.000000e+00, 1.496117e+00 
3.250000e-01, 3.500000e-02, 0.000000e+00, 1.495627e+00 
3.350000e-01, 3.500000e-02, 0.000000e+00, 1.496216e+00 
3.450000e-01, 3.500000e-02, 0.000000e+00, 1.497642e+00 
3.550000e-01, 3.500000e-02, 0.000000e+00, 1.499145e+00 
3.650000e-01, 3.500000e-02, 0.000000e+00, 1.500624e+00 
3.750000e-01, 3.500000e-02, 0.000000e+00, 1.501901e+00 
3.850000e-01, 3.500000e-02, 0.000000e+00, 1.503112e+00 
3.950000e-01, 3.500000e-02, 0.000000e+00, 1.504385e+00 
4.050000e-01, 3.500000e-02, 0.000000e+00, 1.505575e+00 
4.150000e-01, 3.500000e-02, 0.000000e+00, 1.506682e+00 
4.250000e-01, 3.500000e-02, 0.000000e+00, 1.507752e+00 
4.350000e-01, 3.500000e-02, 0.000000e+00, 1.508829e+00 
4.450000e-01, 3.500000e-02, 0.000000e+00, 1.509956e+00 
4.550000e-01, 3.500000e-02, 0.000000e+00, 1.511164e+00 
4.650000e-01, 3.500000e-02, 0.000000e+00, 1.512428e+00 
4.750000e-01, 3.500000e-02, 0.000000e+00, 1.513557e+00 
4.850000e-01, 3.500000e-02, 0.000000e+00, 1.514518e+00 
4.950000e-01, 3.500000e-02, 0.000000e+00, 1.515524e+00 
5.050000e-01, 3.500000e-02, 0.000000e+00, 1.516554e+00 
5.150000e-01, 3.500000e-02, 0.000000e+00, 1.517585e+00 
5.250000e-01, 3.500000e-02, 0.000000e+00, 1.518605e+00 
5.350000e-01, 3.500000e-02, 0.000000e+00, 1.519609e+00 
5.450000e-01, 3.500000e-02, 0.000000e+00, 1.520593e+00 
5.550000e-01, 3.500000e-02, 0.000000e+00, 1.521552e+00 
5.650000e-01, 3.500000e-02, 0.000000e+00, 1.522483e+00 
5.750000e-01, 3.500000e-02, 0.000000e+00, 1.523382e+00 
5.850000e-01, 3.500000e-02, 0.000000e+00, 1.524249e+00 
5.950000e-01, 3.500000e-02, 0.000000e+00, 1.525084e+00 
6.050000e-01, 3.500000e-02, 0.000000e+00, 1.525889e+00 
6.150000e-01, 3.500000e-02, 0.000000e+00, 1.526668e+00 
6.250000e-01, 3.500000e-02, 0.000000e+00, 1.527431e+00 
6.350000e-01, 3.500000e-02, 0.000000e+00, 1.528188e+00 
6.450000e-01, 3.500000e-02, 0.000000e+00, 1.528950e+00 
6.550000e-01, 3.500000e-02, 0.000000e+00, 1.529712e+00 
6.650000e-01, 3.500000e-02, 0.000000e+00, 1.530461e+00 
6.750000e-01, 3.500000e-02, 0.000000e+00, 1.531167e+00 
6.850000e-01, 3.500000e-02, 0.000000e+00, 1.531792e+00 
6.950000e-01, 3.500000e-02, 0.000000e+00, 1.532297e+00 
7.050000e-01, 3.500000e-02, 0.000000e+00, 1.532679e+00 
7.150000e-01, 3.500000e-02, 0.000000e+00, 1.533044e+00 
7.250000e-01, 3.500000e-02, 0.000000e+00, 1.533755e+00 
7.350000e-01, 3.500000e-02, 0.000000e+00, 1.534762e+00 
7.450000e-01, 3.500000e-02, 0.000000e+00, 1.535708e+00 
7.550000e-01, 3.500000e-02, 0.000000e+00, 1.536587e+00 
7.650000e-01, 3.500000e-02, 0.000000e+00, 1.537397e+00 
7.750000e-01, 3.500000e-02, 0.000000e+00, 1.538117e+00 
7.850000e-01, 3.500000e-02, 0.000000e+00, 1.538729e+00 
7.950000e-01, 3.500000e-02, 0.000000e+00, 1.539227e+00 
8.050000e-01, 3.500000e-02, 0.000000e+00, 1.539613e+00 
8.150000e-01, 3.500000e-02, 0.000000e+00, 1.539909e+00 
8.250000e-01, 3.500000e-02, 0.000000e+00, 1.540123e+00 
8.350000e-01, 3.500000e-02, 0.000000e+00, 1.540275e+00 
8.450000e-01, 3.500000e-02, 0.000000e+00, 1.540352e+00 
8.550000e-01, 3.500000e-02, 0.000000e+00, 1.540341e+00 
8.650000e-01, 3.500000e-02, 0.000000e+00, 1.540244e+00 
8.750000e-01, 3.500000e-02, 0.000000e+00, 1.540071e+00 
8.850000e-01, 3.500000e-02, 0.000000e+00, 1.539840e+00 
8.950000e-01, 3.500000e-02, 0.000000e+00, 1.539579e+00 
9.050000e-01, 3.500000e-02, 0.000000e+00, 1.539300e+00 
9.150000e-01, 3.500000e-02, 0.000000e+00, 1.539050e+00 
9.250000e-01, 3.500000e-02, 0.000000e+00, 1.538864e+00 
9.350000e-01, 3.500000e-02, 0.000000e+00, 1.538763e+00 
9.450000e-01, 3.500000e-02, 0.000000e+00, 1.538773e+00 
9.550000e-01, 3.500000e-02, 0.000000e+00, 1.538922e+00 
9.650000e-01, 3.500000e-02, 0.000000e+00, 1.539239e+00 
9.750000e-01, 3.500000e-02, 0.000000e+00, 1.539726e+00 
9.850000e-01, 3.500000e-02, 0.000000e+00, 1.540431e+00 
9.950000e-01, 3.500000e-02, 0.000000e+00, 1.541245e+00 
1.005000e+00, 3.500000e-02, 0.000000e+00, 1.542069e+00 
1.015000e+00, 3.500000e-02, 0.000000e+00, 1.542871e+00 
1.025000e+00, 3.500000e-02, 0.000000e+00, 1.543659e+00 
1.035000e+00, 3.500000e-02, 0.000000e+00, 1.544435e+00 
1.045000e+00, 3.500000e-02, 0.000000e+00, 1.545185e+00 
1.055000e+00, 3.500000e-02, 0.000000e+00, 1.545880e+00 
1.065000e+00, 3.500000e-02, 0.000000e+00, 1.546487e+00 
