# x, y, gas saturation, co2 concentration 
3.500000e-02, 3.500000e-02, 0.000000e+00, 1.480679e+00 
4.500000e-02, 3.500000e-02, 0.000000e+00, 1.485542e+00 
5.500000e-02, 3.500000e-02, 0.000000e+00, 1.480712e+00 
6.500000e-02, 3.500000e-02, 0.000000e+00, 1.473816e+00 
7.500000e-02, 3.500000e-02, 0.000000e+00, 1.464813e+00 
8.500000e-02, 3.500000e-02, 0.000000e+00, 1.458460e+00 
9.500000e-02, 3.500000e-02, 0.000000e+00, 1.457813e+00 
1.050000e-01, 3.500000e-02, 0.000000e+00, 1.460594e+00 
1.150000e-01, 3.500000e-02, 0.000000e+00, 1.464651e+00 
1.250000e-01, 3.500000e-02, 0.000000e+00, 1.469032e+00 
1.350000e-01, 3.500000e-02, 0.000000e+00, 1.473378e+00 
1.450000e-01, 3.500000e-02, 0.000000e+00, 1.477561e+00 
1.550000e-01, 3.500000e-02, 0.000000e+00, 1.481540e+00 
1.650000e-01, 3.500000e-02, 0.000000e+00, 1.485298e+00 
1.750000e-01, 3.500000e-02, 0.000000e+00, 1.488826e+00 
1.850000e-01, 3.500000e-02, 0.000000e+00, 1.492251e+00 
1.950000e-01, 3.500000e-02, 0.000000e+00, 1.495624e+00 
2.050000e-01, 3.500000e-02, 0.000000e+00, 1.498979e+00 
2.150000e-01, 3.500000e-02, 0.000000e+00, 1.502330e+00 
2.250000e-01, 3.500000e-02, 0.000000e+00, 1.505674e+00 
2.350000e-01, 3.500000e-02, 0.000000e+00, 1.508978e+00 
2.450000e-01, 3.500000e-02, 0.000000e+00, 1.512192e+00 
2.550000e-01, 3.500000e-02, 0.000000e+00, 1.515338e+00 
2.650000e-01, 3.500000e-02, 0.000000e+00, 1.518558e+00 
2.750000e-01, 3.500000e-02, 0.000000e+00, 1.521805e+00 
2.850000e-01, 3.500000e-02, 0.000000e+00, 1.524929e+00 
2.950000e-01, 3.500000e-02, 0.000000e+00, 1.527931e+00 
3.050000e-01, 3.500000e-02, 0.000000e+00, 1.530763e+00 
3.150000e-01, 3.500000e-02, 0.000000e+00, 1.533407e+00 
3.250000e-01, 3.500000e-02, 0.000000e+00, 1.535848e+00 
3.350000e-01, 3.500000e-02, 0.000000e+00, 1.538150e+00 
3.450000e-01, 3.500000e-02, 0.000000e+00, 1.540535e+00 
3.550000e-01, 3.500000e-02, 0.000000e+00, 1.543221e+00 
3.650000e-01, 3.500000e-02, 0.000000e+00, 1.546041e+00 
3.750000e-01, 3.500000e-02, 0.000000e+00, 1.548852e+00 
3.850000e-01, 3.500000e-02, 0.000000e+00, 1.551579e+00 
3.950000e-01, 3.500000e-02, 0.000000e+00, 1.554223e+00 
4.050000e-01, 3.500000e-02, 0.000000e+00, 1.556807e+00 
4.150000e-01, 3.500000e-02, 0.000000e+00, 1.559337e+00 
4.250000e-01, 3.500000e-02, 0.000000e+00, 1.561812e+00 
4.350000e-01, 3.500000e-02, 0.000000e+00, 1.564228e+00 
4.450000e-01, 3.500000e-02, 0.000000e+00, 1.566585e+00 
4.550000e-01, 3.500000e-02, 0.000000e+00, 1.568880e+00 
4.650000e-01, 3.500000e-02, 0.000000e+00, 1.571106e+00 
4.750000e-01, 3.500000e-02, 0.000000e+00, 1.573249e+00 
4.850000e-01, 3.500000e-02, 0.000000e+00, 1.575335e+00 
4.950000e-01, 3.500000e-02, 0.000000e+00, 1.577393e+00 
5.050000e-01, 3.500000e-02, 0.000000e+00, 1.579401e+00 
5.150000e-01, 3.500000e-02, 0.000000e+00, 1.581326e+00 
5.250000e-01, 3.500000e-02, 0.000000e+00, 1.583143e+00 
5.350000e-01, 3.500000e-02, 0.000000e+00, 1.584864e+00 
5.450000e-01, 3.500000e-02, 0.000000e+00, 1.586499e+00 
5.550000e-01, 3.500000e-02, 0.000000e+00, 1.588073e+00 
5.650000e-01, 3.500000e-02, 0.000000e+00, 1.589598e+00 
5.750000e-01, 3.500000e-02, 0.000000e+00, 1.591073e+00 
5.850000e-01, 3.500000e-02, 0.000000e+00, 1.592500e+00 
5.950000e-01, 3.500000e-02, 0.000000e+00, 1.593861e+00 
6.050000e-01, 3.500000e-02, 0.000000e+00, 1.595141e+00 
6.150000e-01, 3.500000e-02, 0.000000e+00, 1.596337e+00 
6.250000e-01, 3.500000e-02, 0.000000e+00, 1.597440e+00 
6.350000e-01, 3.500000e-02, 0.000000e+00, 1.598437e+00 
6.450000e-01, 3.500000e-02, 0.000000e+00, 1.599327e+00 
6.550000e-01, 3.500000e-02, 0.000000e+00, 1.600104e+00 
6.650000e-01, 3.500000e-02, 0.000000e+00, 1.600774e+00 
