# x, y, gas saturation, co2 concentration 
3.500000e-02, 3.500000e-02, 0.000000e+00, 1.454003e+00 
4.500000e-02, 3.500000e-02, 0.000000e+00, 1.454138e+00 
5.500000e-02, 3.500000e-02, 0.000000e+00, 1.454424e+00 
6.500000e-02, 3.500000e-02, 0.000000e+00, 1.454914e+00 
7.500000e-02, 3.500000e-02, 0.000000e+00, 1.455255e+00 
8.500000e-02, 3.500000e-02, 0.000000e+00, 1.455533e+00 
9.500000e-02, 3.500000e-02, 0.000000e+00, 1.455976e+00 
1.050000e-01, 3.500000e-02, 0.000000e+00, 1.456563e+00 
1.150000e-01, 3.500000e-02, 0.000000e+00, 1.457259e+00 
1.250000e-01, 3.500000e-02, 0.000000e+00, 1.458007e+00 
1.350000e-01, 3.500000e-02, 0.000000e+00, 1.458713e+00 
1.450000e-01, 3.500000e-02, 0.000000e+00, 1.459222e+00 
1.550000e-01, 3.500000e-02, 0.000000e+00, 1.459280e+00 
1.650000e-01, 3.500000e-02, 0.000000e+00, 1.458486e+00 
1.750000e-01, 3.500000e-02, 0.000000e+00, 1.458286e+00 
1.850000e-01, 3.500000e-02, 0.000000e+00, 1.459045e+00 
1.950000e-01, 3.500000e-02, 0.000000e+00, 1.459814e+00 
2.050000e-01, 3.500000e-02, 0.000000e+00, 1.460520e+00 
2.150000e-01, 3.500000e-02, 0.000000e+00, 1.461255e+00 
2.250000e-01, 3.500000e-02, 0.000000e+00, 1.462189e+00 
2.350000e-01, 3.500000e-02, 0.000000e+00, 1.463605e+00 
2.450000e-01, 3.500000e-02, 0.000000e+00, 1.465970e+00 
2.550000e-01, 3.500000e-02, 0.000000e+00, 1.469619e+00 
2.650000e-01, 3.500000e-02, 0.000000e+00, 1.473428e+00 
2.750000e-01, 3.500000e-02, 0.000000e+00, 1.475441e+00 
2.850000e-01, 3.500000e-02, 0.000000e+00, 1.476833e+00 
2.950000e-01, 3.500000e-02, 0.000000e+00, 1.477762e+00 
3.050000e-01, 3.500000e-02, 0.000000e+00, 1.477979e+00 
3.150000e-01, 3.500000e-02, 0.000000e+00, 1.477129e+00 
3.250000e-01, 3.500000e-02, 0.000000e+00, 1.476037e+00 
3.350000e-01, 3.500000e-02, 0.000000e+00, 1.476280e+00 
3.450000e-01, 3.500000e-02, 0.000000e+00, 1.477536e+00 
3.550000e-01, 3.500000e-02, 0.000000e+00, 1.478945e+00 
3.650000e-01, 3.500000e-02, 0.000000e+00, 1.480275e+00 
3.750000e-01, 3.500000e-02, 0.000000e+00, 1.481400e+00 
3.850000e-01, 3.500000e-02, 0.000000e+00, 1.482495e+00 
3.950000e-01, 3.500000e-02, 0.000000e+00, 1.483724e+00 
4.050000e-01, 3.500000e-02, 0.000000e+00, 1.484884e+00 
4.150000e-01, 3.500000e-02, 0.000000e+00, 1.485962e+00 
4.250000e-01, 3.500000e-02, 0.000000e+00, 1.486995e+00 
4.350000e-01, 3.500000e-02, 0.000000e+00, 1.488014e+00 
4.450000e-01, 3.500000e-02, 0.000000e+00, 1.489038e+00 
4.550000e-01, 3.500000e-02, 0.000000e+00, 1.490072e+00 
4.650000e-01, 3.500000e-02, 0.000000e+00, 1.491105e+00 
4.750000e-01, 3.500000e-02, 0.000000e+00, 1.492121e+00 
4.850000e-01, 3.500000e-02, 0.000000e+00, 1.493006e+00 
4.950000e-01, 3.500000e-02, 0.000000e+00, 1.493863e+00 
5.050000e-01, 3.500000e-02, 0.000000e+00, 1.494720e+00 
5.150000e-01, 3.500000e-02, 0.000000e+00, 1.495575e+00 
5.250000e-01, 3.500000e-02, 0.000000e+00, 1.496421e+00 
5.350000e-01, 3.500000e-02, 0.000000e+00, 1.497252e+00 
5.450000e-01, 3.500000e-02, 0.000000e+00, 1.498065e+00 
5.550000e-01, 3.500000e-02, 0.000000e+00, 1.498859e+00 
5.650000e-01, 3.500000e-02, 0.000000e+00, 1.499635e+00 
5.750000e-01, 3.500000e-02, 0.000000e+00, 1.500397e+00 
5.850000e-01, 3.500000e-02, 0.000000e+00, 1.501148e+00 
